Customer ID,Customer_Recency,Customer_Frequency,Customer_Monetary,Customer_Lifetime,Customer_Total_Profit,Country,Segment
AA-10315,9,19,13747.41,1363,447.69,United Kingdom,Consumer
AA-10375,7,23,5884.2,1344,677.48,United States,Consumer
AA-10480,126,20,17695.59,1212,1516.48,United States,Consumer
AA-10645,29,36,15343.89,1407,3051.44,United States,Consumer
AA-315,3,7,2243.26,1300,535.57,Turkey,Consumer
AA-375,254,8,654.49,1056,77.44,Poland,Consumer
AA-480,315,5,2063.49,975,554.61,Angola,Consumer
AA-645,52,11,1968.32,1298,-608.35,Nigeria,Consumer
AB-10015,17,32,20037.5,1395,3719.49,Australia,Consumer
AB-10060,43,32,18416.55,1412,4514.06,United States,Home Office
AB-10105,28,33,22966.78,1148,6912.61,United States,Consumer
AB-10150,36,24,13057.29,1401,2064.21,United States,Consumer
AB-10165,14,29,11649.26,1399,2329.47,United States,Consumer
AB-10255,6,31,10786.72,1436,-43.24,United States,Home Office
AB-105,44,7,2156.4,1280,-495.33,Turkey,Consumer
AB-10600,51,22,13318.66,1392,905.36,United States,Corporate
AB-15,413,5,4607.13,911,963.72,Ukraine,Consumer
AB-150,399,4,3143.88,616,862.14,Iran,Consumer
AB-165,17,6,1399.78,1183,106.6,Poland,Consumer
AB-255,44,8,4679.5,1098,801.85,Morocco,Home Office
AB-60,36,9,1770.23,1111,465.92,Iraq,Home Office
AB-600,8,5,5408.55,1430,964.65,Togo,Corporate
AC-10420,7,24,10607.69,1262,206.48,Mexico,Corporate
AC-10450,6,19,16126.39,1236,4105.6,United States,Consumer
AC-10615,7,29,12729.72,1276,1160.68,United States,Corporate
AC-10660,3,21,6255.62,1302,-999.0,Haiti,Consumer
AC-420,14,9,1689.68,1441,237.56,Algeria,Corporate
AC-450,182,7,1026.6,822,-125.19,Kazakhstan,Consumer
AC-615,93,7,2298.43,1249,-280.55,Austria,Corporate
AC-660,120,4,2676.09,464,726.87,Egypt,Consumer
AD-10180,30,27,17858.5,1204,2050.75,United States,Home Office
AD-180,6,3,681.29,207,-510.76,Turkey,Home Office
AF-10870,7,36,26487.26,1366,1736.07,United States,Consumer
AF-10885,54,35,19711.17,1321,2882.91,France,Consumer
AF-870,6,9,1700.08,1182,542.23,Democratic Republic of the Congo,Consumer
AF-885,168,2,354.99,36,88.32,Romania,Consumer
AG-10270,41,25,10637.4,1412,2152.0,United States,Consumer
AG-10300,3,24,13013.88,1440,1845.77,France,Corporate
AG-10330,9,29,14534.51,1252,929.47,United States,Consumer
AG-10390,115,19,8453.01,1238,995.74,United States,Consumer
AG-10495,79,29,15380.31,1289,2749.06,United States,Corporate
AG-10525,13,20,8468.96,1228,36.03,United States,Corporate
AG-10675,48,21,13023.84,1345,680.79,United States,Consumer
AG-10765,29,27,9824.78,1421,1250.58,El Salvador,Home Office
AG-10900,58,29,18174.17,1352,1879.77,United States,Consumer
AG-270,14,8,2779.81,1171,450.58,Cameroon,Consumer
AG-300,99,6,1703.31,729,-1072.62,Jordan,Corporate
AG-330,3,7,532.54,1111,77.5,Nigeria,Consumer
AG-390,113,4,473.11,1188,-548.48,Uganda,Consumer
AG-495,49,11,1003.99,1360,-106.85,Turkey,Corporate
AG-525,16,7,2870.68,1272,133.36,Nigeria,Corporate
AG-675,174,10,2368.13,1220,242.27,Nigeria,Consumer
AG-765,115,8,1859.53,797,-1075.28,Turkey,Home Office
AG-900,24,4,1699.47,1408,-146.52,Nigeria,Consumer
AH-10030,13,27,14439.5,1337,2601.43,United States,Corporate
AH-10075,3,34,18109.86,1298,986.04,United States,Corporate
AH-10120,61,22,9927.84,1202,1705.14,United States,Home Office
AH-10195,50,25,12628.19,1395,158.91,Italy,Corporate
AH-10210,7,34,20365.74,1220,4139.66,United States,Consumer
AH-10465,71,20,8547.83,1240,611.89,United States,Consumer
AH-10585,22,22,9125.89,1281,1458.35,Australia,Consumer
AH-10690,31,31,16276.16,1339,2795.84,United States,Corporate
AH-120,22,4,1478.08,974,376.24,Egypt,Home Office
AH-195,279,9,2651.56,962,-751.16,Iran,Corporate
AH-210,458,4,3277.11,779,202.71,Egypt,Consumer
AH-30,469,7,6320.02,736,-150.5,Nigeria,Corporate
AH-465,242,4,650.83,1124,106.45,South Africa,Consumer
AH-585,76,9,2232.22,1164,151.72,Turkey,Consumer
AH-690,59,5,1817.9,1361,-329.83,Zimbabwe,Corporate
AH-75,38,8,3608.34,1119,915.99,Cameroon,Corporate
AI-10855,14,22,8358.6,1330,1612.76,United States,Consumer
AI-855,204,4,919.97,1108,-74.59,Romania,Consumer
AJ-10780,49,25,15186.07,1402,1784.25,United States,Corporate
AJ-10795,63,22,8887.08,1276,1861.09,United States,Corporate
AJ-10945,29,29,11087.02,1371,1567.64,United States,Consumer
AJ-10960,49,17,8633.59,1156,1518.67,Cuba,Consumer
AJ-780,2,12,2570.99,1390,-612.01,Nigeria,Corporate
AJ-795,37,10,3395.58,1263,617.49,Poland,Corporate
AJ-945,105,7,4860.92,1205,1439.06,Senegal,Consumer
AJ-960,295,10,4629.16,1105,1012.69,Turkey,Consumer
AM-10360,16,33,16730.33,1394,2748.48,United States,Corporate
AM-10705,26,30,24218.56,1313,2728.65,United States,Consumer
AM-360,176,6,2035.83,662,229.38,South Africa,Corporate
AM-705,137,6,1303.77,755,509.94,Belarus,Consumer
AO-10810,37,27,14537.8,1183,1028.39,Australia,Corporate
AO-810,8,5,485.01,456,64.71,Canada,Corporate
AP-10720,42,20,15362.06,1358,2937.47,United States,Home Office
AP-10915,77,32,15877.86,1381,2420.11,United States,Consumer
AP-720,38,6,999.7,1362,55.3,Morocco,Home Office
AP-915,93,5,2668.08,679,717.51,Egypt,Consumer
AR-10345,30,26,14165.8,1278,1683.93,Australia,Corporate
AR-10405,55,22,8956.82,1381,-583.48,Mexico,Corporate
AR-10510,15,29,14277.89,1395,3518.96,Australia,Consumer
AR-10540,7,15,7983.95,1337,3050.91,United States,Consumer
AR-10570,3,18,9445.65,1348,1584.83,Brazil,Consumer
AR-10825,23,38,15311.04,1306,2828.1,United States,Corporate
AR-345,142,9,2301.07,1231,606.73,Saudi Arabia,Corporate
AR-405,223,6,571.11,1149,31.2,Kazakhstan,Corporate
AR-510,105,10,2638.64,1108,42.8,Turkey,Consumer
AR-540,222,8,561.6,1017,88.17,Mali,Consumer
AR-570,71,9,2044.28,1280,409.82,Democratic Republic of the Congo,Consumer
AR-825,34,7,2028.91,1312,289.54,Iran,Corporate
AS-10045,24,28,12596.29,1358,660.92,United States,Corporate
AS-10090,16,32,15009.47,1305,1344.96,United States,Consumer
AS-10135,42,19,7307.24,1099,750.29,China,Home Office
AS-10225,13,28,21366.9,1248,2718.66,United States,Corporate
AS-10240,13,31,9006.67,1423,630.38,France,Consumer
AS-10285,19,30,16179.86,1317,1794.86,India,Corporate
AS-10630,36,19,9815.94,1213,3194.36,United States,Home Office
AS-135,93,5,3978.81,874,814.2,Israel,Home Office
AS-225,3,7,469.52,1321,-215.02,Nigeria,Corporate
AS-240,499,5,1686.51,699,545.07,Saudi Arabia,Consumer
AS-285,100,13,4938.46,1282,738.7,Angola,Corporate
AS-45,234,3,1616.33,744,-291.76,South Africa,Corporate
AS-630,34,11,2000.01,1393,-1103.31,Nigeria,Home Office
AS-90,22,4,435.2,1344,76.31,Morocco,Consumer
AT-10435,13,24,13654.31,1296,3016.9,Indonesia,Home Office
AT-10735,3,29,12984.1,1302,2516.71,United States,Consumer
AT-435,29,12,1287.99,1279,-221.37,Mongolia,Home Office
AT-735,70,5,403.65,1391,143.07,Hungary,Consumer
AW-10840,17,25,13200.26,1281,1444.83,Germany,Consumer
AW-10930,36,22,10230.96,1422,2585.88,United States,Home Office
AW-840,57,7,1947.0,1369,-228.42,Turkey,Consumer
AW-930,38,6,782.06,864,95.08,Morocco,Home Office
AY-10555,15,16,5446.61,1351,1850.52,United States,Corporate
AY-555,36,11,3096.42,1185,440.46,Iran,Corporate
AZ-10750,71,18,9639.8,1315,1606.56,United States,Consumer
AZ-750,27,10,2231.28,1330,-682.2,Turkey,Consumer
BB-10990,15,30,9064.53,1352,177.07,United States,Corporate
BB-11545,29,26,15797.57,1147,1686.66,United States,Corporate
BB-1545,50,5,207.23,806,52.19,Zambia,Corporate
BB-990,51,7,822.29,874,122.36,Sudan,Corporate
BC-11125,34,28,14789.45,1326,2755.68,Spain,Home Office
BC-1125,30,6,396.04,1363,-269.72,Turkey,Home Office
BD-11320,6,32,13390.27,1344,1409.62,United States,Consumer
BD-11500,20,27,13089.85,1438,2412.36,United States,Consumer
BD-11560,8,19,9356.78,1423,1909.86,Germany,Home Office
BD-11605,98,19,9202.66,1354,1201.18,United States,Consumer
BD-11620,50,25,7849.0,1352,448.51,Philippines,Consumer
BD-11635,10,25,11230.7,1350,1303.62,Germany,Consumer
BD-11725,5,30,10877.83,1373,1574.14,United States,Consumer
BD-11770,36,26,10168.33,1280,2397.81,United States,Consumer
BD-1320,6,6,1885.05,512,213.06,Poland,Consumer
BD-1500,399,3,52.05,703,-31.29,Morocco,Consumer
BD-1560,91,5,1564.02,1025,114.84,Poland,Home Office
BD-1605,276,5,689.64,632,224.49,Israel,Consumer
BD-1620,118,11,2919.6,1210,535.92,Iraq,Consumer
BD-1635,325,9,5689.26,983,1488.69,Iran,Consumer
BD-1725,101,13,5078.4,1347,901.02,Israel,Consumer
BD-1770,239,5,3405.07,1192,-869.54,Turkey,Consumer
BE-11335,36,37,27158.02,1323,7790.7,China,Home Office
BE-11410,85,30,16552.07,1268,3398.1,United Kingdom,Consumer
